iter	Passed	Remaining
0	51	5100
1	98	4807
2	146	4727
3	196	4707
4	250	4767
5	322	5051
6	368	4892
7	419	4825
8	465	4703
9	510	4595
10	554	4482
11	600	4403
12	649	4349
13	696	4281
14	743	4213
15	786	4130
16	829	4050
17	880	4010
18	924	3940
19	968	3874
20	1013	3813
21	1059	3755
22	1111	3720
23	1172	3712
24	1230	3691
25	1272	3622
26	1318	3565
27	1364	3509
28	1476	3615
29	1542	3599
30	1598	3558
31	1697	3606
32	1743	3539
33	1791	3477
34	1833	3404
35	1876	3336
36	1920	3269
37	1981	3233
38	2032	3178
39	2077	3116
40	2122	3054
41	2174	3002
42	2229	2955
43	2335	2972
44	2468	3017
45	2560	3005
46	2891	3260
47	2963	3210
48	3025	3149
49	3073	3073
50	3127	3005
51	3180	2935
52	3233	2867
53	3284	2798
54	3341	2734
55	3389	2663
56	3436	2592
57	3523	2551
58	3626	2520
59	3703	2468
60	3745	2394
61	3787	2321
62	3831	2250
63	3879	2181
64	3920	2111
65	3965	2043
66	4010	1975
67	4063	1912
68	4112	1847
69	4161	1783
70	4208	1719
71	4252	1653
72	4299	1590
73	4342	1525
74	4384	1461
75	4426	1397
76	4472	1335
77	4518	1274
78	4561	1212
79	4603	1150
80	4647	1090
81	4693	1030
82	4744	971
83	4786	911
84	4837	853
85	4880	794
86	4923	735
87	4974	678
88	5022	620
89	5079	564
90	5264	520
91	5374	467
92	5430	408
93	5483	350
94	5543	291
95	5591	232
96	5645	174
97	5696	116
98	5744	58
99	5790	0
