iter	Passed	Remaining
0	2	247
1	5	247
2	7	223
3	9	216
4	11	210
5	13	204
6	15	199
7	17	196
8	19	192
9	21	188
10	23	185
11	25	182
12	27	179
13	29	174
14	31	172
15	33	170
16	35	167
17	37	165
18	39	162
19	41	160
20	43	158
21	45	156
22	47	153
23	48	150
24	50	148
25	52	145
26	54	143
27	56	141
28	58	140
29	60	137
30	62	135
31	64	133
32	66	131
33	68	128
34	70	126
35	72	124
36	74	122
37	76	120
38	78	118
39	80	116
40	81	113
41	83	111
42	85	109
43	87	107
44	88	104
45	90	102
46	92	100
47	93	97
48	95	95
49	97	93
50	98	91
51	100	88
52	101	86
53	103	84
54	105	82
55	106	80
56	108	78
57	110	76
58	112	74
59	113	72
60	115	70
61	117	68
62	118	66
63	120	64
64	122	62
65	124	60
66	126	58
67	127	56
68	129	54
69	130	52
70	132	50
71	134	48
72	135	46
73	137	44
74	138	42
75	140	40
76	142	38
77	144	36
78	145	35
79	147	33
80	148	31
81	150	29
82	152	27
83	153	25
84	155	23
85	157	21
86	158	20
87	160	18
88	162	16
89	163	14
90	165	12
91	167	10
92	168	9
93	170	7
94	172	5
95	173	3
96	175	1
97	177	0
